name,sector,start_year,end_year,years_operation_cleaned
Twitter Fabric,Information,2014,2020,6
Twitter Music,Information,2013,2015,2
Uber Rush,Transportation and Warehousing,2015,2020,5
Udacity Blitz,Information,2017,2022,5
Udemy Free,Information,2015,2023,8
Ueno,Professional Scientific and Technical Services,2015,2021,6
Unbounce,Professional Scientific and Technical Services,2009,2021,12
Uncharted Play,Manufacturing,2011,2019,8
Uncrate,Retail Trade,2005,2020,15
Understory,Professional Scientific and Technical Services,2014,2022,8
UnifyID,Information,2015,2021,6
Unroll.me,Information,2011,2019,8
Untappd Events,Arts Entertainment and Recreation,2015,2021,6
UpCounsel,Professional Scientific and Technical Services,2012,2021,9
UpOut,Arts Entertainment and Recreation,2011,2017,6
Upstart,Finance and Insurance,2012,2023,11
Upworthy Insider,Information,2015,2020,5
Urban Airship,Information,2009,2021,12
UrbanSitter,Administrative and Support Services,2012,2023,11
UserVoice,Information,2007,2020,13
Ustream,Information,2007,2019,12
Vamp,Professional Scientific and Technical Services,2015,2021,6
Vanhawks,Manufacturing,2013,2019,6
Vator,Information,2006,2018,12
Vayable,Administrative and Support Services,2011,2020,9
Vdio,Information,2013,2015,2
Vedere Bio II,Health Care,2020,2023,3
Vemo,Finance and Insurance,2015,2021,6
Venmo Groups,Finance and Insurance,2015,2020,5
Vesper,Information,2014,2019,5
Vessel,Information,2013,2017,4
Videology,Professional Scientific and Technical Services,2007,2019,12
Vidme,Information,2014,2018,4
Viewdle,Information,2006,2013,7
Viki,Information,2007,2018,11
Vine,Information,2012,2017,5
Viper,Information,2014,2020,6
Virta Health,Health Care,2014,2022,8
Virtustream,Information,2008,2020,12
VisiCalc,Information,1979,1984,5
VisualDNA,Professional Scientific and Technical Services,2006,2017,11
Vittana,Finance and Insurance,2008,2015,7
Vive,Health Care,2016,2021,5
VocalIQ,Information,2011,2017,6
Vodio,Information,2011,2015,4
Vook,Information,2009,2017,8
Wag,Administrative and Support Services,2015,2022,7
Wanderu,Administrative and Support Services,2012,2022,10
Washio,Administrative and Support Services,2013,2017,4
Wattpad Futures,Arts Entertainment and Recreation,2016,2021,5
Wavely,Information,2016,2021,5
Wavii,Information,2009,2013,4
WayUp,Administrative and Support Services,2014,2022,8
Wealthfront Cash,Finance and Insurance,2018,2023,5
Wealthsimple Trade,Finance and Insurance,2017,2023,6
Weave,Information,2014,2022,8
Webvan,Retail Trade,1996,1999,3
Weebly Carbon,Information,2018,2023,5
WellnessFX,Health Care,2011,2020,9
Wepay,Finance and Insurance,2008,2020,12
Wesabe,Finance and Insurance,2006,2011,5
WhatRunsWhere,Professional Scientific and Technical Services,2011,2020,9
Whisper,Information,2012,2020,8
Whiteboard,Information,2015,2020,5
WhoSay,Information,2010,2019,9
Wickr,Information,2012,2020,8
WigWag,Manufacturing,2013,2019,6
Wildfire,Professional Scientific and Technical Services,2008,2015,7
WillCall,Arts Entertainment and Recreation,2011,2016,5
Willo,Health Care,2018,2023,5
Wimm Labs,Manufacturing,2008,2013,5
Wink,Manufacturing,2014,2021,7
Wise,Finance and Insurance,2011,2023,12
Wishbone,Information,2013,2019,6
Wit.ai,Information,2013,2017,4
Wittlebee,Retail Trade,2012,2015,3
WizIQ,Information,2007,2021,14
Womply,Professional Scientific and Technical Services,2011,2021,10
Woo,Information,2013,2018,5
Wooden,Retail Trade,2016,2020,4
Woot,Retail Trade,2004,2016,12
Workable,Administrative and Support Services,2012,2022,10
Workboard,Information,2013,2021,8
WorkMarket,Administrative and Support Services,2010,2021,11
WorldMate,Administrative and Support Services,2000,2014,14
Woven,Information,2016,2021,5
Xmarks,Information,2006,2014,8
Xobni,Information,2006,2013,7
Y Combinator Research,Professional Scientific and Technical Services,2015,2020,5
Yahoo Answers,Information,2005,2020,15
Yahoo Buzz,Information,2008,2012,4
Yahoo Groups,Information,1998,2013,15
Yahoo Live,Information,2008,2010,2
Yammer,Information,2008,2018,10
Yandex Kit,Information,2014,2019,5
YayPay,Finance and Insurance,2015,2021,6
Ycharts,Finance and Insurance,2009,2021,12
Yelp Deals,Retail Trade,2011,2019,8
Yext Answers,Information,2018,2023,5
Yik Yak,Information,2013,2018,5
Yo,Information,2014,2018,4
Yodle,Professional Scientific and Technical Services,2005,2018,13
Yog,Information,2014,2019,5
Yola,Information,2007,2020,13
Yotpo Reviews,Professional Scientific and Technical Services,2015,2023,8
YouNow,Arts Entertainment and Recreation,2011,2022,11
YourMechanic,Administrative and Support Services,2012,2021,9
YPlan,Arts Entertainment and Recreation,2012,2018,6
Zapier Plus,Information,2018,2023,5
Zappos Labs,Retail Trade,2013,2018,5
Zaarly,Retail Trade,2011,2017,6
Zagster,Transportation and Warehousing,2007,2017,10
Zappos Local,Retail Trade,2015,2020,5
Zencoder,Information,2010,2017,7
Zendesk Chat,Information,2015,2023,8
Zenefits,Administrative and Support Services,2013,2021,8
Zerigo Health,Health Care,2018,2023,5
ZestFinance,Finance and Insurance,2009,2019,10
Zesty,Accommodation and Food Services,2012,2019,7
Ziddu,Information,2007,2019,12
Zillow Offers,Real Estate and Rental and Leasing,2018,2022,4
Zimperium,Information,2010,2020,10
Zing,Retail Trade,2013,2018,5
Zocdoc Local,Health Care,2015,2023,8
Zoho Show,Information,2015,2020,5
Zola Books,Retail Trade,2013,2019,6
Zomato Base,Accommodation and Food Services,2015,2020,5
Zombie Labs,Information,2015,2020,5
Zoomdata,Information,2012,2021,9
Zopim,Information,2008,2016,8
Zscaler Shift,Information,2018,2023,5
Zulily,Retail Trade,2009,2019,10
Zume,Manufacturing,2015,2022,7
Zumper Pro,Real Estate and Rental and Leasing,2015,2021,6
Zurb,Professional Scientific and Technical Services,1998,2013,15
Zuuka,Information,2009,2017,8
Zvents,Arts Entertainment and Recreation,2005,2014,9
Zynstra,Information,2012,2020,8
Zynga Games,Arts Entertainment and Recreation,2007,2019,12
